Strain (%),Stress (MPa),Time (sec)
25.2,3.279,63
25.3,3.279,63
25.3,3.279,63
25.3,3.287,63
25.3,3.287,64
25.4,3.287,64
25.4,3.287,64
25.4,3.287,64
25.4,3.287,64
25.5,3.287,64
25.5,3.295,64
25.5,3.287,64
25.5,3.295,64
25.5,3.295,64
25.6,3.295,64
25.6,3.295,64
25.6,3.295,64
25.6,3.295,64
25.7,3.302,64
25.7,3.295,64
25.7,3.302,65
25.7,3.302,65
25.8,3.302,65
25.8,3.302,65
25.8,3.302,65
25.8,3.31,65
25.9,3.302,65
25.9,3.302,65
25.9,3.302,65
25.9,3.31,65
26,3.31,65
26,3.31,65
26,3.31,65
26,3.31,65
26.1,3.31,65
26.1,3.31,65
26.1,3.31,66
26.1,3.318,66
26.2,3.318,66
26.2,3.318,66
26.2,3.318,66
26.2,3.326,66
26.3,3.326,66
26.3,3.326,66
26.3,3.326,66
26.3,3.326,66
26.4,3.326,66
26.4,3.326,66
26.4,3.326,66
26.4,3.326,66
26.5,3.326,66
26.5,3.333,66
26.5,3.333,67
26.5,3.333,67
26.6,3.333,67
26.6,3.333,67
26.6,3.333,67
26.6,3.341,67
26.7,3.341,67
26.7,3.341,67
26.7,3.341,67
26.7,3.341,67
26.8,3.341,67
26.8,3.341,67
26.8,3.341,67
26.8,3.341,67
26.9,3.341,67
26.9,3.349,67
26.9,3.349,68
26.9,3.349,68
27,3.349,68
27,3.349,68
27,3.349,68
27,3.349,68
27.1,3.349,68
27.1,3.356,68
27.1,3.356,68
27.1,3.356,68
27.2,3.356,68
27.2,3.356,68
27.2,3.356,68
27.2,3.356,68
27.3,3.356,68
27.3,3.364,68
27.3,3.364,69
27.3,3.364,69
27.4,3.364,69
27.4,3.364,69
27.4,3.364,69
27.4,3.364,69
27.5,3.372,69
27.5,3.364,69
27.5,3.364,69
27.5,3.372,69
27.6,3.372,69
27.6,3.372,69
27.6,3.372,69
27.6,3.372,69
27.7,3.372,69
27.7,3.372,69
27.7,3.372,70
27.7,3.38,70
27.8,3.38,70
27.8,3.38,70
27.8,3.38,70
27.8,3.38,70
27.9,3.38,70
27.9,3.38,70
27.9,3.38,70
27.9,3.387,70
28,3.38,70
28,3.387,70
28,3.387,70
28,3.387,70
28.1,3.387,70
28.1,3.387,70
28.1,3.395,71
28.1,3.395,71
28.2,3.395,71
28.2,3.395,71
28.2,3.395,71
28.2,3.395,71
28.3,3.395,71
28.3,3.395,71
28.3,3.403,71
28.3,3.395,71
28.4,3.395,71
28.4,3.395,71
28.4,3.395,71
28.4,3.403,71
28.5,3.403,71
28.5,3.403,71
28.5,3.403,72
28.5,3.403,72
28.6,3.403,72
28.6,3.403,72
28.6,3.41,72
28.6,3.41,72
28.7,3.41,72
28.7,3.41,72
28.7,3.41,72
28.7,3.41,72
28.8,3.41,72
28.8,3.418,72
28.8,3.418,72
28.8,3.418,72
28.9,3.418,72
28.9,3.418,72
28.9,3.418,73
28.9,3.418,73
29,3.418,73
29,3.418,73
29,3.418,73
29,3.426,73
29.1,3.426,73
29.1,3.426,73
29.1,3.426,73
29.1,3.426,73
29.2,3.426,73
29.2,3.426,73
29.2,3.426,73
29.2,3.426,73
29.3,3.426,73
29.3,3.426,73
29.3,3.426,74
29.3,3.434,74
29.4,3.434,74
29.4,3.434,74
29.4,3.434,74
29.4,3.434,74
29.5,3.434,74
29.5,3.441,74
29.5,3.441,74
29.5,3.441,74
29.6,3.441,74
29.6,3.441,74
29.6,3.441,74
29.6,3.441,74
29.7,3.441,74
29.7,3.441,74
29.7,3.441,75
29.7,3.449,75
29.8,3.441,75
29.8,3.441,75
29.8,3.449,75
29.8,3.449,75
29.9,3.449,75
29.9,3.449,75
29.9,3.449,75
29.9,3.449,75
30,3.449,75
30,3.449,75
30,3.457,75
30,3.457,75
30.1,3.457,75
30.1,3.457,75
30.1,3.457,76
30.1,3.457,76
30.2,3.457,76
30.2,3.457,76
30.2,3.457,76
30.2,3.465,76
30.3,3.465,76
30.3,3.465,76
30.3,3.465,76
30.3,3.465,76
30.4,3.472,76
30.4,3.465,76
30.4,3.465,76
30.4,3.465,76
30.5,3.465,76
30.5,3.465,76
30.5,3.465,77
30.5,3.465,77
30.6,3.472,77
30.6,3.472,77
30.6,3.472,77
30.6,3.472,77
30.7,3.48,77
30.7,3.472,77
30.7,3.472,77
30.7,3.472,77
30.8,3.472,77
30.8,3.48,77
30.8,3.48,77
30.8,3.48,77
30.9,3.48,77
